cty	issue	lic	exp	eff	man
"RU-Russia"	"Unemployment"	.6860269	.4738777	-.5038227	.3250929
"RU-Russia"	"Environment"	.9616876	.6652129	-.4478773	.639727
"SI-Slovenia"	"Health"	.9799398	.7896866	.1587629	.7738453
"SI-Slovenia"	"Pensions"	.9638917	.5680655	.1112277	.5475537
"SI-Slovenia"	"Unemployment"	.8282208	.1930541	-.3516029	.1598915
"SI-Slovenia"	"Environment"	.9531568	.6423433	-.0010493	.6122539
"ZA-South Africa"	"Health"	.9628157	.8878384	.1374339	.8548247
"ZA-South Africa"	"Pensions"	.9500859	.7458987	.1238118	.7086679
"ZA-South Africa"	"Unemployment"	.875851	.6203557	-.7140779	.5433392
"ZA-South Africa"	"Environment"	.8901759	.2817942	.0237011	.2508464
"ES-Spain"	"Health"	.9774739	.8623482	.3330595	.8429228
"ES-Spain"	"Pensions"	.9947896	.8130115	.0440806	.8087754
"ES-Spain"	"Unemployment"	.9275123	.5210549	.0473752	.4832848
"ES-Spain"	"Environment"	.970297	.6705277	-.0437956	.650611
"SE-Sweden"	"Health"	.9363557	.7835757	.1141631	.7337056
"SE-Sweden"	"Pensions"	.9697493	.5772926	-.0650836	.5598291
"SE-Sweden"	"Unemployment"	.8343613	.0217202	-.5	.0181225
"SE-Sweden"	"Environment"	.8946428	.3511384	.2126697	.3141434
"CH-Switzerland"	"Health"	.8835301	.4069768	.6396213	.3595763
"CH-Switzerland"	"Pensions"	.8993735	.5218007	.5498053	.4692937
"CH-Switzerland"	"Unemployment"	.6709687	.164666	.3537517	.1104857
"CH-Switzerland"	"Environment"	.8968046	.5211281	.341139	.46735
"GB-Great Britain"	"Health"	.9884872	.7970046	.2730956	.7878289
"GB-Great Britain"	"Pensions"	.9720655	.7046895	-.0443856	.6850044
"GB-Great Britain"	"Unemployment"	.5482883	-.2737713	-.0036082	-.1501056
"GB-Great Britain"	"Environment"	.9140154	.5318348	-.1884435	.4861052
"US-United States"	"Health"	.907293	.7459948	-.2062493	.6768358
"US-United States"	"Pensions"	.9015604	.5790272	-.2071758	.522028
"US-United States"	"Unemployment"	.5093181	.206168	-.0681532	.1050051
"US-United States"	"Environment"	.9331208	.4025304	-.0226618	.3756095
"UY-Uruguay"	"Health"	.9699509	.9037964	.0876125	.8766381
"UY-Uruguay"	"Pensions"	.9813164	.8644102	-.0960182	.8482599
"UY-Uruguay"	"Unemployment"	.8867525	.5757733	-.0127851	.5105684
"UY-Uruguay"	"Environment"	.9435874	.4085633	.2777804	.3855152
"VE-Venezuela"	"Health"	.995768	.8592939	.3422663	.8556574
"VE-Venezuela"	"Pensions"	.9965754	.9035456	.3033381	.9004514
"VE-Venezuela"	"Unemployment"	.8982213	.7447446	-.2435279	.6689455
"VE-Venezuela"	"Environment"	.9824473	.4608515	.0505391	.4527623
